,Price,Brand,Screen Size,CPU type,Memory,Storage,GPU,Resolution,Backlit Keyboard,Touchscreen,Graphic Type,Operating System,Webcam,Card Reader,Thunderbolt,title,link,ppi,CPU_series,GPU_brand
297,899.0,msi,14.0,Intel Core i7 13th Gen,16,1024,Intel Iris Xe,1920x1080,1,0,Integrated,Windows 11 Home,Yes,1,0,"msi modern 14 c13m-621us 14.0"" ultra thin and light laptop intel core i7 13th gen 1355u (1.70ghz) 16gb memory(1)",https://www.newegg.com/urban-silver-msi-modern-14-c13m-621us-work-business/p/N82E16834156501?Item=N82E16834156501,157.3505121487356,Intel Core i7,Intel
298,1199.0,msi,15.6,Intel Core i9 12th Gen,16,1024,NVIDIA GeForce RTX 3070 Ti Laptop GPU,2560x1440,1,0,Dedicated,Windows 11 Home,Yes,1,1,"msi ge series raider ge66 12ugs-609 15.6"" gaming laptop",https://www.newegg.com/titanium-blue-msi-ge-series-raider-ge66-12ugs-609-gaming/p/N82E16834156281R?Item=N82E16834156281R,188.28266410959816,Intel Core i9,NVIDIA
299,1299.0,aorus,15.6,Intel Core i7 12th Gen,16,1024,NVIDIA GeForce RTX 3070 Ti Laptop GPU,2560x1440,1,0,Dedicated,Windows 11 Home,No,0,1,"aorus 15 xe4-73usb14sh 15.6"" gaming laptop",https://www.newegg.com/p/N82E16834725190R?Item=N82E16834725190R,188.28266410959816,Intel Core i7,NVIDIA
300,702.99,lenovo,15.6,AMD Ryzen 5 5000 Series,8,256,AMD Radeon Graphics,1920x1080,1,1,Integrated,Windows 11 Home,Yes,1,0,"lenovo notebook ideapad 3 15aba7 laptop, 15.6"" fhd ips  touch, ryzen 5 5625u,  amd radeon graphics, 256gb ssd",https://www.newegg.com/arctic-grey-lenovo-ideapad-3-15aba7-82rn000wus-home-personal/p/1TS-000E-0ZVV6?Item=1TS-000E-0ZVV6,141.21199808219862,AMD Ryzen 5,AMD
301,359.99,dell,14.0,Intel Core i5 8th Gen,16,256,Intel UHD Graphics 620,1920x1080,0,0,Integrated,Windows 10 Pro,Yes,0,0,"dell 5490 14.0"" grade a laptop intel core i5 8th gen 8250u (1.60ghz) 16gb memory",https://www.newegg.com/dell-latitude-5490/p/N82E16834343329?Item=N82E16834343329,157.3505121487356,Intel Core i5,Intel
302,1899.0,msi,15.6,Intel Core i7 12th Gen,16,1024,NVIDIA GeForce RTX 3070 Ti Laptop GPU,2560x1440,1,0,Dedicated,Windows 11 Home,Yes,1,1,"msi ge series raider ge67hx 12ugs-070 15.6"" gaming laptop",https://www.newegg.com/dark-gray-msi-ge-series-raider-ge67hx-12ugs-070-gaming/p/N82E16834156340R?Item=N82E16834156340R,188.28266410959816,Intel Core i7,NVIDIA
303,510.99,lenovo,14.0,Intel Core i7 8th Gen,16,512,Intel UHD Graphics 620,1920x1080,0,1,Integrated,Windows 11 Pro,Yes,0,0,"lenovo x1 carbon g6 14.0"" grade b laptop intel core i7 8th gen 8650u (1.90ghz) 16gb memory",https://www.newegg.com/lenovo-thinkpad-x1-carbon-g6-work-business/p/N82E16834840249?Item=N82E16834840249,157.3505121487356,Intel Core i7,Intel
304,229.99,hp,15.6,Intel Core i5 6th Gen,16,512,No,1920x1080,0,0,Integrated,Windows 10 Pro,No,0,0,"hp elitebook 850 g3 15.6-in laptop - intel core i5 6300u 6th gen 2.40 ghz 16gb 512gb ssd windows 10 pro 64-bit - bluetooth, webcam",https://www.newegg.com/hp-elitebook-850-g3-everyday-value/p/1TS-000D-17081?Item=1TS-000D-17081,141.21199808219862,Intel Core i5,No
305,1599.99,msi,16.0,Intel Core i9 13th Gen,16,1024,NVIDIA GeForce RTX 4050 Laptop GPU,2560x1600,1,0,Dedicated,Windows 11 Home,Yes,0,0,"msi creator m16 b13ve-1251us 16.0"" laptop intel core i9 13th gen 13900h (2.60ghz) 16gb memory",https://www.newegg.com/black-msi-creator-m16-b13ve-1251us-content-creation-work-business/p/N82E16834156527?Item=N82E16834156527,188.67962264113208,Intel Core i9,NVIDIA
306,2064.99,msi,16.0,Intel Core i7 13th Gen,32,2048,NVIDIA GeForce RTX 4060 Laptop GPU,2560x1600,1,0,Dedicated,Windows 11 Pro,Yes,1,1,"msi prestige 16 16"" qhd+ 165hz miniled ultra thin professional laptop intelâ® coreâ„¢ i7-13700h rtx 4060 32gb lpddr5 2tb nvme ssd win 11 pro, a13vf-039us(1)",https://www.newegg.com/urban-silver-msi-prestige-16studio-a13vf-039us-work-business/p/N82E16834156458?Item=N82E16834156458,188.67962264113208,Intel Core i7,NVIDIA
